,Industry Title,Industry Code,Industry Type,2020 Employment,2020 Percent of Occupation,2020 Percent of Industry,Projected 2030 Employment,Projected 2030 Percent of Occupation,Projected 2030 Percent of Industry,"Employment Change, 2020-2030","Employment Percent Change, 2020-2030",Industry Sort,Display Level
0,"
Filter by Title:

","
Filter by Code:

", , , , , , , , , , , 
1,Total employment,TE1000,Summary,100.5,100.0,0.1,111.0,100.0,0.1,10.6,10.5,,0
2,Self-employed workers,TE1100,Line Item,1.2,1.2,0.0,1.2,1.1,0.0,0.0,1.4,2,1
3,Total wage and salary employment,TE1200,Summary,99.3,98.8,0.1,109.9,98.9,0.1,10.6,10.6,3,1
4,Manufacturing,31-330,Summary,0.3,0.3,0.0,0.3,0.3,0.0,0.0,5.4,60,2
5,Miscellaneous manufacturing,339000,Summary,0.3,0.3,0.1,0.3,0.3,0.1,0.0,5.4,138,3
6,Medical equipment and supplies manufacturing,339100,Line Item,0.3,0.3,0.1,0.3,0.3,0.1,0.0,5.4,139,4
7,Wholesale trade,420000,Summary,0.9,0.8,0.0,0.9,0.8,0.0,0.0,4.8,143,2
8,"Merchant wholesalers, nondurable goods",424000,Summary,0.5,0.5,0.0,0.6,0.5,0.0,0.0,4.8,151,3
9,"Merchant wholesalers, nondurable goods (4242,6)",4240A2,Line Item,0.5,0.5,0.1,0.6,0.5,0.1,0.0,4.8,154,4
10,Retail trade,44-450,Summary,1.2,1.2,0.0,1.2,1.1,0.0,0.0,1.2,158,2
11,"Retail trade, except motor vehicle and parts dealers, food and beverage stores, and general merchandise stores",4445R0,Summary,0.6,0.6,0.0,0.7,0.6,0.0,0.1,9.6,167,3
12,Health and personal care stores,446000,Summary,0.5,0.5,0.0,0.5,0.5,0.1,0.0,5.0,175,4
13,Health and personal care stores,446100,Summary,0.5,0.5,0.0,0.5,0.5,0.1,0.0,5.0,176,5
14,Finance and insurance,520000,Summary,0.3,0.3,0.0,0.3,0.3,0.0,0.0,15.4,252,2
15,Insurance carriers and related activities,524000,Summary,0.3,0.3,0.0,0.3,0.3,0.0,0.0,15.7,260,3
16,Insurance carriers,524100,Summary,0.2,0.2,0.0,0.2,0.2,0.0,0.0,16.0,261,4
17,Direct health and medical insurance carriers,524114,Line Item,0.2,0.2,0.0,0.2,0.2,0.0,0.0,16.7,262,5
18,"Agencies, brokerages, and other insurance related activities",524200,Summary,0.1,0.1,0.0,0.1,0.1,0.0,0.0,15.3,265,4
19,Other insurance related activities,524290,Line Item,0.1,0.1,0.0,0.1,0.1,0.0,0.0,15.3,267,5
20,"Professional, scientific, and technical services",540000,Summary,0.6,0.6,0.0,0.7,0.6,0.0,0.1,14.0,279,2
21,"Professional, scientific, and technical services",541000,Summary,0.6,0.6,0.0,0.7,0.6,0.0,0.1,14.0,280,3
22,Scientific research and development services,541700,Summary,0.3,0.3,0.0,0.3,0.2,0.0,0.0,5.1,291,4
23,"Research and development in the physical, engineering, and life sciences",541710,Line Item,0.3,0.3,0.0,0.3,0.2,0.0,0.0,5.1,292,5
24,Management of companies and enterprises,550000,Summary,0.6,0.6,0.0,0.6,0.5,0.0,0.0,3.3,299,2
25,Management of companies and enterprises,551000,Line Item,0.6,0.6,0.0,0.6,0.5,0.0,0.0,3.3,300,3
26,Facilities support services,561200,Line Item,0.2,0.2,0.1,0.2,0.2,0.1,0.0,7.9,304,4
27,"Educational services; state, local, and private",610000,Summary,9.2,9.2,0.1,9.9,9.0,0.1,0.7,7.5,322,2
28,"Educational services; state, local, and private",611000,Summary,9.2,9.2,0.1,9.9,9.0,0.1,0.7,7.5,323,3
29,"Elementary and secondary schools; state, local, and private",611100,Summary,8.1,8.1,0.1,8.7,7.9,0.1,0.6,7.2,324,4
30,Elementary and secondary schools; private,611105,Line Item,0.6,0.6,0.1,0.7,0.6,0.1,0.1,12.4,325,5
31,Elementary and secondary schools; state,611102,Line Item,0.3,0.3,0.4,0.3,0.3,0.4,0.0,-4.9,326,5
32,Elementary and secondary schools; local,611103,Line Item,7.3,7.2,0.1,7.8,7.0,0.1,0.5,7.3,327,5
33,"Junior colleges, colleges, universities, and professional schools; state, local, and private",6112-3,Summary,1.0,1.0,0.0,1.1,1.0,0.0,0.1,9.2,328,4
34,"Junior colleges; state, local, and private",611200,Summary,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.4,329,5
35,Junior colleges; local,611203,Line Item,0.1,0.1,0.0,0.1,0.1,0.0,0.0,-4.7,332,6
