,Occupation code,Occupation title (click on the occupation title to view an occupational profile),Level,Employment,Employment RSE,Percent of total employment,Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
0,,,,,,,,,,
1,00-0000,"All Occupations
  ",total,"1,493,990",0.5%,100.00%,$14.87,$20.16,"$41,940",0.8%
2,11-0000,"Management Occupations
",major,"37,140",2.7%,2.49%,$45.11,$51.60,"$107,320",1.0%
3,11-1000,Top Executives,minor,"8,660",4.6%,0.58%,$52.10,$60.97,"$126,820",1.9%
4,11-1011,Chief Executives,detail,"1,060",12.7%,0.07%,$74.02,$82.59,"$171,790",4.1%
5,11-1021,General and Operations Managers,detail,"7,610",4.5%,0.51%,$50.26,$57.97,"$120,580",2.1%
6,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"1,250",7.9%,0.08%,$48.25,$53.29,"$110,830",3.5%
7,11-2020,Marketing and Sales Managers,broad,"1,050",9.2%,0.07%,$48.86,$54.17,"$112,670",4.0%
8,11-2021,Marketing Managers,detail,670,10.4%,0.04%,$46.63,$53.22,"$110,690",5.3%
9,11-2022,Sales Managers,detail,380,18.6%,0.03%,$53.28,$55.83,"$116,130",5.9%
10,11-2030,Public Relations and Fundraising Managers,broad,200,10.8%,0.01%,$44.27,$48.72,"$101,340",3.5%
11,11-3000,Operations Specialties Managers,minor,"4,540",6.7%,0.30%,$46.67,$51.40,"$106,920",1.8%
12,11-3010,Administrative Services and Facilities Managers,broad,"1,860",11.0%,0.12%,$41.22,$43.52,"$90,520",2.5%
13,11-3021,Computer and Information Systems Managers,detail,390,10.5%,0.03%,$59.70,$62.71,"$130,440",4.1%
14,11-3031,Financial Managers,detail,"1,370",8.7%,0.09%,$51.56,$60.35,"$125,520",3.0%
15,11-3111,Compensation and Benefits Managers,detail,50,19.5%,(7),$45.00,$54.62,"$113,610",11.1%
16,11-3121,Human Resources Managers,detail,680,5.5%,0.05%,$45.82,$48.60,"$101,080",2.1%
17,11-3131,Training and Development Managers,detail,120,10.9%,0.01%,$45.79,$52.47,"$109,130",5.2%
18,11-9000,Other Management Occupations,minor,"22,690",3.2%,1.52%,$42.66,$47.96,"$99,760",1.2%
19,11-9030,Education and Childcare Administrators,broad,(8),(8),(8),$40.09,$46.59,"$96,910",9.9%
20,11-9111,Medical and Health Services Managers,detail,"20,540",3.5%,1.37%,$43.13,$48.50,"$100,880",1.3%
21,11-9141,"Property, Real Estate, and Community Association Managers",detail,(8),(8),(8),$31.86,$32.54,"$67,690",19.0%
22,11-9151,Social and Community Service Managers,detail,"1,070",12.1%,0.07%,$34.58,$37.26,"$77,500",2.3%
